,image_name,pitchNegative,yawPositive,pitchYawPositive
0,00000.jpeg,0.9179984972000756,0.9179984972000756,0.9179984971788799
1,00001.jpeg,0.8935369444451344,0.8941720496616662,0.8730888163719651
2,00002.jpeg,0.8890040094083465,0.8925191804115158,0.8721498218294688
3,00003.jpeg,0.8845867166322741,0.8898758368305137,0.8691981904615844
4,00004.jpeg,0.8841379475668725,0.8870819775415156,0.8637921156858365
5,00005.jpeg,0.8794345305148713,0.8851197756576298,0.8614397113454426
6,00006.jpeg,0.8775966244463269,0.8836553346879195,0.8571148606132355
7,00007.jpeg,0.8705943012808817,0.8804431638072218,0.8515269639164256
8,00008.jpeg,0.8689726680913502,0.8796665127195951,0.850613384115241
9,00009.jpeg,0.8675051570045872,0.8781279882022923,0.8505897178185166
10,00010.jpeg,0.8655284324717171,0.8763076477406644,0.8440709627246703
11,00011.jpeg,0.8658696679524804,0.8713087327921952,0.8430506695159147
12,00012.jpeg,0.8633627028558798,0.8685772459409119,0.8377794253807658
13,00013.jpeg,0.8625520200161876,0.8672552210759402,0.8386406176383218
14,00014.jpeg,0.857827159578628,0.8673648527218886,0.8362209882766857
15,00015.jpeg,0.8608069700997706,0.8661334956759287,0.8324309059670991
16,00016.jpeg,0.85360563262926,0.8641808009611511,0.8333451657732677
17,00017.jpeg,0.8562043408751349,0.8648350331748579,0.8292649316877511
18,00018.jpeg,0.851258554474805,0.8604308198188115,0.8269656540154682
19,00019.jpeg,0.8505162185854441,0.8603201169222277,0.8250622676457248
20,00020.jpeg,0.8480071370523744,0.856528374358975,0.8217952118790498
21,00021.jpeg,0.847601867309238,0.8537146775659894,0.8175324660920112
22,00022.jpeg,0.847635729841059,0.8509689250671123,0.8163029761490602
23,00023.jpeg,0.8451823550412346,0.8502012018924187,0.8133114057069707
24,00024.jpeg,0.841389720892772,0.8436440917904139,0.806590302144336
25,00025.jpeg,0.843137127896919,0.8416686960026039,0.807030655459318
26,00026.jpeg,0.8391932686422154,0.8390242774742783,0.8035625008856477
27,00027.jpeg,0.8417482754790244,0.8401229374921523,0.8020196845620594
28,00028.jpeg,0.842550951746506,0.8360759564460841,0.7969572168567159
29,00029.jpeg,0.8391382206165835,0.8360525828008214,0.7921222653958262
30,00030.jpeg,0.8376382172085065,0.8349437120473532,0.7896310421039696
31,00031.jpeg,0.8376388762429222,0.8338286591778665,0.7850388168748983
32,00032.jpeg,0.8336229432585494,0.8301219496390394,0.786492101791726
33,00033.jpeg,0.832436607314638,0.8290094237979155,0.7804476656523748
34,00034.jpeg,0.8289935995438279,0.8261602986992875,0.7757634389700413
35,00035.jpeg,0.8300328971233077,0.8240795325759906,0.7762713359371644
36,00036.jpeg,0.8301251608124003,0.8229824548458389,0.7720067141376763
37,00037.jpeg,0.8311947802596193,0.821708927168516,0.7700157692553066
38,00038.jpeg,0.8269958562417548,0.8182831267827588,0.7707207057859312
39,00039.jpeg,0.8280310167188393,0.8146972926225372,0.7659230461393495
40,00040.jpeg,0.8286963323684795,0.813173523199596,0.7635022490346777
41,00041.jpeg,0.8264263547399717,0.8115629866654162,0.763528395892174
42,00042.jpeg,0.8259791043718563,0.8123115962918853,0.7624689376117783
43,00043.jpeg,0.8248745593289316,0.8103855754031136,0.7592687152347719
44,00044.jpeg,0.8243112353419305,0.8073819660357723,0.7562676373398891
45,00045.jpeg,0.8209635071874714,0.8090605839543844,0.7527611016743603
46,00046.jpeg,0.8239919597279727,0.8058190752582057,0.7499338257912787
47,00047.jpeg,0.8216150188177042,0.8017060594905291,0.7479547079977744
48,00048.jpeg,0.8215689623385761,0.7994997904042886,0.7415421835540076
49,00049.jpeg,0.8209572610573764,0.8000978099515828,0.7415296288268725
50,00050.jpeg,0.8203596904278704,0.7978090414193012,0.7399721420792873
51,00051.jpeg,0.8186114393376148,0.7977107023335369,0.7375004256469077
52,00052.jpeg,0.8169638815722388,0.8000274232954943,0.7343017915520272
53,00053.jpeg,0.8168247534289945,0.7964321870844222,0.732976609690431
54,00054.jpeg,0.8171909171603651,0.794888585588728,0.7345514804340475
55,00055.jpeg,0.8122103883528204,0.7933262186929807,0.7324268561508959
56,00056.jpeg,0.8099134335379883,0.7905022647147885,0.72905510680351
57,00057.jpeg,0.8078432421203061,0.7903163135308398,0.7270773713378862
58,00058.jpeg,0.8073846246752038,0.7898845562611414,0.7221836619966646
59,00059.jpeg,0.807100305842296,0.7896133326386086,0.7193353444814344
60,00060.jpeg,0.8064948062647053,0.7849038487896854,0.7171104267309012
61,00061.jpeg,0.8040262956339886,0.78490944839024,0.7143451502506962
62,00062.jpeg,0.8025035423832687,0.7866344563056675,0.7136092682288552
63,00063.jpeg,0.8021708405133763,0.7850772907825946,0.71210356206988
64,00064.jpeg,0.7999240531675295,0.7809349070411071,0.7067176961136835
65,00065.jpeg,0.7996277536047753,0.7812075540433921,0.7105166408127814
66,00066.jpeg,0.7998434291910111,0.7767958584667188,0.7071272247350937
67,00067.jpeg,0.7992385512137455,0.7773057089151362,0.7062575328858524
68,00068.jpeg,0.7982556438184474,0.774739461132375,0.7018208265557198
69,00069.jpeg,0.7985431422882312,0.772588851126886,0.7007306495206918
70,00070.jpeg,0.7984842683847827,0.7718528916368891,0.6960955977089757
71,00071.jpeg,0.7970719347112286,0.7700165183147901,0.6947694578806473
72,00072.jpeg,0.7978487184316077,0.7702895309265635,0.6907242543447689
73,00073.jpeg,0.794853768876052,0.7679220284083007,0.6872562474930213
74,00074.jpeg,0.7956655548819138,0.7659511872963513,0.6879326643974158
75,00075.jpeg,0.7927621822557986,0.7658949080402573,0.6825417262451359
76,00076.jpeg,0.7894119252085318,0.7631411332860062,0.6855715601364144
77,00077.jpeg,0.7892841100451877,0.7620303622861514,0.6820418344015815
78,00078.jpeg,0.789567811614434,0.7609531987787271,0.6798960337537279
79,00079.jpeg,0.7915139314297144,0.757145291103331,0.6781324808449998
80,00080.jpeg,0.7899299662093684,0.7572320833571443,0.6758406244217846
81,00081.jpeg,0.7865646008803855,0.7542856856477724,0.6735235474911859
82,00082.jpeg,0.7882824590055526,0.7527195218349623,0.6679438792828236
83,00083.jpeg,0.7839936517335311,0.7525145286799756,0.6676501150074351
84,00084.jpeg,0.7839972145447303,0.7502014270989101,0.6646729877499447
85,00085.jpeg,0.7813875162396234,0.7471753871245131,0.6638859223035491
86,00086.jpeg,0.7817260234029789,0.7484567000186073,0.6600646904930016
87,00087.jpeg,0.7766908758345167,0.7466152884248518,0.6581308243314327
88,00088.jpeg,0.7752364114227966,0.7448398013051094,0.6557141026060951
89,00089.jpeg,0.7730702993354709,0.7446753534791021,0.6528443275608579
90,00090.jpeg,0.7726098805989697,0.7413907703394244,0.647498623717168
91,00091.jpeg,0.7702884896074838,0.7397543941937811,0.6518781654795465
92,00092.jpeg,0.7707667184709285,0.7369921035547198,0.6486039690901709
93,00093.jpeg,0.7706514356442659,0.7390379472976777,0.6438683507341986
94,00094.jpeg,0.7679009712268325,0.7359366488809861,0.6424130417947335
95,00095.jpeg,0.7660959366595123,0.735193000502111,0.6412733334504751
96,00096.jpeg,0.7646994065492818,0.7308394479995779,0.6386505176343663
97,00097.jpeg,0.7654600729019677,0.7308003610918559,0.6358142956235594
98,00098.jpeg,0.7647786112163575,0.7295806414692027,0.6367876875792272
99,00099.jpeg,0.7636873071381144,0.7285843458216832,0.6329081082702851
